Dia;Titulo;Subtitulo;CTA;Nome_Foto;Cor;Template;Endereco
01;Às vezes me perguntam o que eu quero no jantar…;É tão difícil assim adivinhar?;;DSC08252;#C41E3A;C;Av. Caminho do Mar, 3348 - Rudge Ramos
02;Tem clássico que não tem erro.;Pepperoni bem caprichada;Pedidos no link da bio!;DSC08252;#C41E3A;B;Av. Caminho do Mar, 3348 - Rudge Ramos
03;Nada melhor que encerrar o dia com uma pizza gostosa, né?;Bem feita, do jeitinho certo.;Acesse nosso cardápio clicando no link da bio!;pizza;#8B0000;A;Av. Caminho do Mar, 3348 - Rudge Ramos
04;Já sabe o que vai pedir hoje?;Cinco queijos pra não ter dúvida;Ver cardápio no link da bio;pizza2;#C41E3A;D;Av. Caminho do Mar, 3348 - Rudge Ramos
05;Pizza é aquele pedido que todo mundo topa, né?;Perfeita pra dividir em casa.;Clique no link da bio e faça seu pedido!;pizza2;#8B0000;A;Av. Caminho do Mar, 3348 - Rudge Ramos
06;A inicial do amor da sua vida começa com a letra P.;(você sabe qual);;DSC08252;#C41E3A;C;Av. Caminho do Mar, 3348 - Rudge Ramos
07;Que tal uma pizza bem caprichada pra melhorar a noite?;A partir das 18h.;Pedidos no link da bio!;pizza;#8B0000;D;Av. Caminho do Mar, 3348 - Rudge Ramos
08;Vai uma fatia daquelas que a gente não espera esfriar?;;Peça pelo link da bio!;pizza2;#C41E3A;B;Av. Caminho do Mar, 3348 - Rudge Ramos
09;Escolha rápida;qual você pede primeiro?;;DSC08252;#8B0000;E;Av. Caminho do Mar, 3348 - Rudge Ramos
10;Tem dia que a gente só quer uma pizza de verdade, né?;Bem feita, caprichada.;Acesse nosso cardápio clicando no link da bio!;pizza;#C41E3A;A;Av. Caminho do Mar, 3348 - Rudge Ramos
11;Já tá sentindo o cheiro daí?;Aqui tá difícil resistir.;Pedidos no link da bio!;DSC08252;#8B0000;B;Av. Caminho do Mar, 3348 - Rudge Ramos
12;Esse é um daqueles pedidos que a gente não espera esfriar;;Peça pelo link da bio!;pizza2;#C41E3A;C;Av. Caminho do Mar, 3348 - Rudge Ramos
13;A mais famosa Cinco Queijos;Você encararia?;;pizza;#8B0000;C;Av. Caminho do Mar, 3348 - Rudge Ramos
14;Feche o dia com uma pizza boa.;Cinco queijos bem caprichada;Clique no link da bio e faça seu pedido!;pizza2;#C41E3A;A;Av. Caminho do Mar, 3348 - Rudge Ramos
15;De 0 a 10…;quanto você encararia essa agora?;;pizza;#8B0000;E;Av. Caminho do Mar, 3348 - Rudge Ramos
16;Hoje o dia está perfeito pra comer uma pizza bem feita;Capricho na primeira mordida.;Pedidos no link da bio!;DSC08252;#C41E3A;B;Av. Caminho do Mar, 3348 - Rudge Ramos
17;Já decidiu se vai pedir hoje?;Se for pra pedir, pede bem;Ver cardápio no link da bio;pizza2;#8B0000;D;Av. Caminho do Mar, 3348 - Rudge Ramos
18;Às vezes tudo que você precisa é uma pizza bem feita;Sem complicar, só pizza boa.;Acesse nosso cardápio clicando no link da bio!;pizza;#C41E3A;A;Av. Caminho do Mar, 3348 - Rudge Ramos
19;Pra quem gosta de pizza clássica, essa aqui é certeira.;Bem feita, bem servida, caprichada.;Pedidos no link da bio!;pizza2;#8B0000;B;Av. Caminho do Mar, 3348 - Rudge Ramos
20;Às vezes no silêncio da noite…;eu fico imaginando nós dois… (eu e a pizza);;DSC08252;#C41E3A;C;Av. Caminho do Mar, 3348 - Rudge Ramos
21;Que tal encerrar o dia com pizza?;Cozinha funcionando a partir das 18h.;Pedidos no link da bio!;pizza;#8B0000;D;Av. Caminho do Mar, 3348 - Rudge Ramos
22;Me conta aqui;qual sabor não pode faltar na sua noite de pizza?;;pizza2;#C41E3A;E;Av. Caminho do Mar, 3348 - Rudge Ramos
23;Para tudo e olha isso;Pepperoni clássica bem caprichada.;Peça por aqui!;DSC08252;#8B0000;B;Av. Caminho do Mar, 3348 - Rudge Ramos
24;Giradino Pizzaria;Av. Caminho do Mar, 3348 - Rudge Ramos;Acesse nosso cardápio clicando no link da bio!;fachada;#C41E3A;G;Av. Caminho do Mar, 3348 - Rudge Ramos
25;Sabe quando bate aquela vontade de uma pizza bem cremosa?;Cinco queijos do jeito certo.;Pedidos no link da bio!;pizza;#8B0000;B;Av. Caminho do Mar, 3348 - Rudge Ramos
26;Noite em família combina com pizza boa.;Bem recheada e caprichada;Clique no link da bio e faça seu pedido!;pizza2;#C41E3A;A;Av. Caminho do Mar, 3348 - Rudge Ramos
27;Confissão:;só de ver essa foto já deu vontade;;pizza;#8B0000;C;Av. Caminho do Mar, 3348 - Rudge Ramos
28;Qual é a sua cara?;Pepperoni ou Napolitana?;;DSC08252;#C41E3A;E;Av. Caminho do Mar, 3348 - Rudge Ramos
29;Se a fome apertou por aí, já sabe o que pedir…;Pizza bem feita pra fechar o dia.;Ver cardápio no link da bio;pizza2;#8B0000;A;Av. Caminho do Mar, 3348 - Rudge Ramos
30;Último dia do mês com cara de pizza;Capricho em cada detalhe;Pedidos no link da bio!;DSC08252;#C41E3A;D;Av. Caminho do Mar, 3348 - Rudge Ramos
