Dia;Titulo;Subtitulo;CTA;Nome_Foto;Cor;Template;Endereco
01;Sabe quando bate aquela vontade de comida mineira? 😋;Bem servida, daquele jeitinho que a gente ama.;Te esperamos no salão 😊;feijoada2;#7B2D00;A;R. Antônio Masi, 39 - Jardim Marajoara
02;Já garantiu sua feijoada hoje? 🫘;Capricho que dá pra ver.;Sticker (link) "Ver cardápio";feijoadacompleta;#4A1A00;B;R. Antônio Masi, 39 - Jardim Marajoara
03;Vai uma picanha na pedra daquelas? 🥩;Porção bem servida, no ponto certo.;Te esperamos no salão 😊;picanhanapedra;#5C3317;A;R. Antônio Masi, 39 - Jardim Marajoara
04;Tem dia que a gente só quer uma comida de verdade, né?;Frango com quiabo com caldo bem encorpado 😋;Pedidos no link da bio!;frangocomquiabo;#2E4A1A;D;R. Antônio Masi, 39 - Jardim Marajoara
05;Esse é um prato daqueles que não esperamos esfriar 🤭;Costelinha bem caprichada.;Te esperamos no salão 😊;firmininense;#6B2200;B;R. Antônio Masi, 39 - Jardim Marajoara
06;Pra começar do jeito certo… 😋;Já escolheu sua entrada?;Acesse nosso cardápio clicando no link da bio!;entrada;#8B4513;A;R. Antônio Masi, 39 - Jardim Marajoara
07;Já veio conhecer o Bom de Minas?;📍 Jardim Marajoara;Te esperamos no salão 😊;fachada;#3A5C1A;D;R. Antônio Masi, 39 - Jardim Marajoara
08;Escolha rápida 😋;qual você pede primeiro?;(enquete: Feijoada vs Picanha na pedra);feijoada2;#7B2D00;E;R. Antônio Masi, 39 - Jardim Marajoara
09;Picanha na pedra com queijo… combinação certa 😋;;Te esperamos no salão 😊;picanhanapedra2;#5C3317;B;R. Antônio Masi, 39 - Jardim Marajoara
10;Já decidiu o prato de hoje?;Picanha na pedra sempre resolve.;Sticker (link) "Peça por aqui! ✨";picanhanapedra3;#8B1A1A;C;R. Antônio Masi, 39 - Jardim Marajoara
11;Nada melhor do que um almoço bem gostoso, né?;;Vem pro Bom de Minas almoçar! 😋;feijoadacompleta;#4A1A00;A;R. Antônio Masi, 39 - Jardim Marajoara
12;Hoje o dia está perfeito pra comer uma comida bem servida 😋;Capricho que dá pra ver.;Pedidos no link da bio!;firmininense;#6B2200;B;R. Antônio Masi, 39 - Jardim Marajoara
13;Quando a ideia é comer bem, sem erro 🤤;;Te esperamos no salão 😊;frangocomquiabo;#2E4A1A;D;R. Antônio Masi, 39 - Jardim Marajoara
14;Já tá sentindo o cheirinho daí? 😋;Começa com uma entrada e depois escolhe o prato.;Acesse nosso cardápio clicando no link da bio!;entrada;#8B4513;A;R. Antônio Masi, 39 - Jardim Marajoara
15;Me conta uma coisa 😋;feijoada combina com o quê?;(caixinha: Escreve aqui 👇);feijoada2;#7B2D00;E;R. Antônio Masi, 39 - Jardim Marajoara
16;Bom de Minas 📍;Jardim Marajoara – SP;Te esperamos no salão 😊;fachada;#3A5C1A;B;R. Antônio Masi, 39 - Jardim Marajoara
17;O que é essa picanha na pedra? 👀🤤;;Pedidos no link da bio!;picanhanapedra;#8B1A1A;D;R. Antônio Masi, 39 - Jardim Marajoara
18;Feche o dia com comida boa.;E uma porção bem caprichada 😋;Te esperamos no salão 😊;entrada;#8B4513;A;R. Antônio Masi, 39 - Jardim Marajoara
19;Vai um prato desses hoje? 😋;Bem feito, bem servido, caprichado.;Sticker (link) "Ver cardápio";firmininense;#6B2200;B;R. Antônio Masi, 39 - Jardim Marajoara
20;Fim de semana bate aquela vontade de comer uma comida gostosa, né?;;Te esperamos no salão 😊;feijoadacompleta;#4A1A00;C;R. Antônio Masi, 39 - Jardim Marajoara
21;Pra quem quer mudar do básico:;frango com quiabo bem servido 😋;Pedidos no link da bio!;frangocomquiabo;#2E4A1A;A;R. Antônio Masi, 39 - Jardim Marajoara
22;De 0 a 10…;quanto você encararia esse prato agora? 😋;(slider 😋);picanhanapedra3;#8B1A1A;E;R. Antônio Masi, 39 - Jardim Marajoara
23;Já escolheu por onde começa? 😋;;Acesse nosso cardápio clicando no link da bio!;entrada;#8B4513;D;R. Antônio Masi, 39 - Jardim Marajoara
24;Picanha na pedra com queijo gratinado. Pra acompanhar do jeito certo 😋;;Te esperamos no salão 😊;picanhanapedra2;#5C3317;A;R. Antônio Masi, 39 - Jardim Marajoara
25;Picanha no ponto, do jeito que a gente gosta 😋;;Te esperamos no salão 😊;picanhanapedra;#8B1A1A;B;R. Antônio Masi, 39 - Jardim Marajoara
26;Pra quem gosta de porção bem servida 😋;;Te esperamos no salão 😊;firmininense;#6B2200;A;R. Antônio Masi, 39 - Jardim Marajoara
27;Já escolheu o prato de hoje?;;Pedidos no link da bio!;feijoada2;#7B2D00;C;R. Antônio Masi, 39 - Jardim Marajoara
28;Se a noite pedir uma comida caprichada… a gente resolve.;;Sticker (link) "Peça por aqui! ✨";frangocomquiabo;#2E4A1A;D;R. Antônio Masi, 39 - Jardim Marajoara
29;Pergunta rápida 😋;qual desses é o seu favorito?;(quiz: Feijoada / Picanha / Costelinha);feijoadacompleta;#4A1A00;E;R. Antônio Masi, 39 - Jardim Marajoara
30;Já experimentou o Bom de Minas?;Comida mineira bem servida, do jeito certo.;Acesse nosso cardápio clicando no link da bio!;fachada;#3A5C1A;A;R. Antônio Masi, 39 - Jardim Marajoara
