Dia;Titulo;Subtitulo;CTA;Nome_Foto;Cor;Template;Endereco
01;Hoje o dia está perfeito pra comer uma comida bem servida;Bem feito, bem servido, caprichado.;Te esperamos no salão!;milanesa;#8B1A1A;B;Endereço no link da bio
02;Vai um prato daqueles que dá vontade só de olhar?;Filé à milanesa bem caprichado.;Clique no link da bio e faça seu pedido!;milanesa;#8B1A1A;A;Endereço no link da bio
03;Que tal um almoço delicioso pra dar uma pausa no dia?;;Acesse nosso cardápio clicando no link da bio!;almondega;#7A3B1E;D;Endereço no link da bio
04;Tem dia que a gente só quer uma comida de verdade, né?;Capelete bem servido, do jeitinho que a gente ama!;Pedidos no link da bio!;capeletti;#8B1A1A;B;Endereço no link da bio
05;Hoje tá perfeito pra comer um prato bem caprichado;Prato bonito e porção que vale a pena.;Te esperamos no salão!;parmegiana;#7A3B1E;A;Endereço no link da bio
06;Se a fome apertou por aí…;Vai um prato desses hoje?;;polenta2;#8B1A1A;C;Endereço no link da bio
07;O que você escolheria hoje?;Parmegiana ou Milanesa?;;milanesa;#7A3B1E;E;Endereço no link da bio
08;Que tal um almoço bem caprichado pra melhorar o dia?;Prato cremoso e bem servido;Peça já pelo link da bio!;frangocompolenta;#8B1A1A;B;Endereço no link da bio
09;Já escolheu o prato de hoje?;Aqui tem opção bem servida pra todo gosto.;Acesse nosso cardápio clicando no link da bio!;capeletti;#7A3B1E;A;Endereço no link da bio
10;Hoje é dia de comer bem, vem pro Capassi!;Bem feito, bem servido, caprichado.;Pedidos no link da bio!;capeletti;#8B1A1A;D;Endereço no link da bio
11;Sabe quando bate vontade de comida bem caseira?;Frango com polenta bem servido.;Te esperamos no salão!;frangocompolenta;#7A3B1E;B;Endereço no link da bio
12;Pra quem gosta de porção bem servida;Perfeito pra almoçar com calma e sair satisfeito.;Te esperamos no salão!;parmegiana2;#8B1A1A;A;Endereço no link da bio
13;Tem dia que dá vontade de massa, né?;Capricho que dá pra ver.;;almondega;#7A3B1E;C;Endereço no link da bio
14;Qual massa você escolheria hoje?;Capelete ou Nhoque?;;almondega;#8B1A1A;E;Endereço no link da bio
15;Vai um desses hoje?;Recheado com catupiry, bem caprichado.;Clique no link da bio e faça seu pedido!;DSC08108;#7A3B1E;B;Endereço no link da bio
16;Hoje o dia está perfeito pra comer uma comida de verdade;Leve, gostoso e bem servido.;Acesse nosso cardápio clicando no link da bio!;polenta2;#8B1A1A;A;Endereço no link da bio
17;Almoço bem servido, daquele jeito que a gente amaaa!;Prato bonito e porção que vale a pena.;Te esperamos no salão!;frangocompolenta;#7A3B1E;D;Endereço no link da bio
18;Já tá sentindo o cheiro daí?;Molho encorpado, bem caprichado.;Pedidos no link da bio!;parmegiana;#8B1A1A;B;Endereço no link da bio
19;Que tal um almoço bem caprichado pra melhorar o dia?;Cremoso e bem servido.;Te esperamos no salão!;frangocompolenta;#7A3B1E;A;Endereço no link da bio
20;Sabe quando bate vontade de um clássico?;Bem feito, bem servido, caprichado.;;milanesa;#8B1A1A;C;Endereço no link da bio
21;De 0 a 10…;quanto você encararia esse prato agora?;;DSC08108;#7A3B1E;E;Endereço no link da bio
22;Eaíií, já decidiu se vai vir ou vai pedir?;O importante é comer bem né;Clique no link da bio e faça seu pedido!;capeletti;#8B1A1A;B;Endereço no link da bio
23;Hoje tá pedindo um almoço caprichado.;;Acesse nosso cardápio clicando no link da bio!;polenta;#7A3B1E;D;Endereço no link da bio
24;Bem feito, bem servido e caprichado.;Pra comer bem e sair satisfeito.;Te esperamos no salão!;almondega;#8B1A1A;A;Endereço no link da bio
25;Hoje é dia de comer bem, vem pro Capassi!;;Te esperamos no salão!;parmegiana2;#7A3B1E;D;Endereço no link da bio
26;Vai um prato daqueles que dá vontade só de olhar?;Recheio caprichado e bem servido.;Te esperamos no salão!;DSC08108;#8B1A1A;B;Endereço no link da bio
27;Hoje o dia tá perfeito pra um prato bem feito;;;parmegiana;#7A3B1E;C;Endereço no link da bio
28;Qual você escolheria hoje?;Só uma opção!;;milanesa;#8B1A1A;E;Endereço no link da bio
29;Nada melhor que encerrar o dia com um jantar gostoso, né?;Perfeito pra comer bem e sair satisfeito.;Pedidos no link da bio!;parmegiana2;#7A3B1E;B;Endereço no link da bio
30;Se a fome apertou por aí, já sabe o que pedir…;Bem feito, bem servido, caprichado.;Acesse nosso cardápio clicando no link da bio!;milanesa;#8B1A1A;A;Endereço no link da bio
